tts_adapter,reviewed_count,avg_human_intelligibility,avg_human_naturalness,median_human_intelligibility,median_human_naturalness,intelligibility_score_counts,naturalness_score_counts,avg_asr_wer_on_review_sample,avg_asr_cer_on_review_sample
coqui_vits_hr,20,2.150,2.100,2.000,2.000,1=9; 2=3; 3=4; 4=4,1=9; 2=3; 3=5; 4=3,1.233,0.828
espeak_ng,20,4.650,3.300,5.000,3.000,3=1; 4=5; 5=14,1=1; 2=1; 3=12; 4=3; 5=3,0.967,0.389
speecht5_hr,20,3.350,3.600,3.500,4.000,1=3; 2=3; 3=4; 4=4; 5=6,1=3; 2=3; 3=2; 4=3; 5=9,0.958,0.485
