model,prompt_strategy,target_class,saturation_level,text_type,pcd_version,candidate_count,average_pcd
manual,manual_example,N,50.0,word,pcd_paper_style,1,0.0
manual,manual_example,N,50.0,sentence,pcd_paper_style,1,0.0
manual,manual_example,SN,50.0,word,pcd_paper_style,1,0.0
manual,manual_example,SN,50.0,sentence,pcd_paper_style,1,0.0
manual,manual_example,S,50.0,sentence,pcd_paper_style,1,0.0
manual,manual_example,SV,50.0,sentence,pcd_paper_style,1,0.0
manual,manual_example,V,50.0,sentence,pcd_paper_style,1,0.0
